Category,Skill code,Skill name
Counting and number patterns,C-A.1,Counting review - up to 10
Counting and number patterns,C-A.2,Count to fill a ten frame
Counting and number patterns,C-A.3,Counting review - up to 20
Counting and number patterns,C-A.4,Counting tens and ones - up to 20
Counting and number patterns,C-A.5,Counting - up to 30
Counting and number patterns,C-A.6,Counting by tens - up to 100
Counting and number patterns,C-A.7,Counting - up to 100
Counting and number patterns,C-A.8,Counting tens and ones - up to 99
Counting and number patterns,C-A.9,"Counting by twos, fives, and tens with pictures"
Counting and number patterns,C-A.10,"Counting by twos, fives, and tens"
Counting and number patterns,C-A.11,Counting forward and backward
Counting and number patterns,C-A.12,Number lines
Counting and number patterns,C-A.13,Counting on the hundred chart
Counting and number patterns,C-A.14,Hundred chart
Counting and number patterns,C-A.15,Even or odd
Counting and number patterns,C-A.16,Identify numbers as even or odd
Counting and number patterns,C-A.17,Even or odd numbers on number lines
Counting and number patterns,C-A.18,Which even or odd number comes before or after?
Counting and number patterns,C-A.19,Skip-counting patterns - with tables
Counting and number patterns,C-A.20,"Sequences - count up and down by 1, 2, 3, 5, and 10"
Counting and number patterns,C-A.21,Ordinal numbers
Counting and number patterns,C-A.22,Writing numbers in words
Counting and number patterns,C-A.23,"Roman numerals I, V, X"
Understand addition ,C-B.1,Add with pictures - sums up to 10
Understand addition ,C-B.2,Addition sentences - sums up to 10
Understand addition ,C-B.3,Addition sentences using number lines - sums up to 10
Understand addition ,C-B.4,Adding zero
Addition skill builders,C-C.1,Adding 1
Addition skill builders,C-C.2,Adding 2
Addition skill builders,C-C.3,Adding 3
Addition skill builders,C-C.4,Adding 4
Addition skill builders,C-C.5,Adding 5
Addition skill builders,C-C.6,Adding 6
Addition skill builders,C-C.7,Adding 7
Addition skill builders,C-C.8,Adding 8
Addition skill builders,C-C.9,Adding 9
Addition skill builders,C-C.10,Adding 0
Addition,C-D.1,Addition facts - sums up to 10
Addition,C-D.2,Make a number using addition - sums up to 10
Addition,C-D.3,Complete the addition sentence - sums up to 10
Addition,C-D.4,Ways to make a number - addition sentences
Addition,C-D.5,Addition word problems - sums up to 10
Addition,C-D.6,Addition sentences for word problems - sums up to 10
Addition,C-D.7,Addition sentences using number lines - sums up to 18
Addition,C-D.8,Addition facts - sums up to 18
Addition,C-D.9,Addition word problems - sums up to 18
Addition,C-D.10,Addition sentences for word problems - sums up to 18
