Category,Skill id,Skill name
Counting and number patterns,C-A.1,Counting review - 0 to 10
Counting and number patterns,C-A.2,Count to fill a ten frame
Counting and number patterns,C-A.3,Counting review - up to 20
Counting and number patterns,C-A.4,Counting tens and ones - up to 20
Counting and number patterns,C-A.5,Counting - up to 30
Counting and number patterns,C-A.6,Counting - up to 100
Counting and number patterns,C-A.7,Counting by tens - up to 100
Counting and number patterns,C-A.8,Counting tens and ones - up to 99
Counting and number patterns,C-A.9,"Counting by twos, fives, and tens with pictures"
Counting and number patterns,C-A.10,"Counting by twos, fives, and tens"
Counting and number patterns,C-A.11,Counting forward and backward
Counting and number patterns,C-A.12,Number lines
Counting and number patterns,C-A.13,Counting on the hundred chart
Counting and number patterns,C-A.14,Hundred chart
Counting and number patterns,C-A.15,Even or odd
Counting and number patterns,C-A.16,Identify numbers as even or odd
Counting and number patterns,C-A.17,Even or odd numbers on number lines
Counting and number patterns,C-A.18,Which even or odd number comes before or after?
Counting and number patterns,C-A.19,Skip-counting patterns - with tables
Counting and number patterns,C-A.20,"Sequences - count up and down by 1, 2, 3, 5, and 10"
Counting and number patterns,C-A.21,Ordinal numbers
Counting and number patterns,C-A.22,Writing numbers in words
Counting and number patterns,C-A.23,"Roman numerals I, V, X"
Addition,C-B.1,Addition with pictures - sums to 10
Addition,C-B.2,Addition sentences - sums to 10
Addition,C-B.3,Addition sentences to 10 using number lines
Addition,C-B.4,Addition word problems - sums to 10
Addition,C-B.5,Word problems - write the addition sentence
Addition,C-B.6,Ways to make a number using addition
Addition,C-B.7,Ways to make a number - addition sentences
Addition,C-B.8,Adding zero
Addition,C-B.9,Adding doubles using models
Addition,C-B.10,Adding doubles
Addition,C-B.11,Adding doubles - complete the sentence
Addition,C-B.12,Addition facts - sums to 10
Addition,C-B.13,Addition sentences to 18 using number lines
Addition,C-B.14,Addition facts - sums to 18
Addition,C-B.15,Addition word problems - sums to 18
Addition,C-B.16,Complete the addition sentence
Addition,C-B.17,Adding three numbers
Addition,C-B.18,Word problems - adding three numbers
Addition,C-B.19,Related addition facts
Addition,C-B.20,Add using doubles plus 1
Addition,C-B.21,Add using doubles minus 1
Addition,C-B.22,Addition facts - sums to 20
Addition,C-B.23,Addition sentences: true or false?
Addition,C-B.24,Add tens I
Addition,C-B.25,Add tens II
Addition,C-B.26,Add a one-digit number to a two-digit number - without regrouping
Addition,C-B.27,Regrouping tens and ones I
Addition,C-B.28,Regrouping tens and ones II
Addition,C-B.29,Add a one-digit number to a two-digit number - with regrouping
Addition - skill builders,C-C.1,Adding 0
Addition - skill builders,C-C.2,Adding 1
Addition - skill builders,C-C.3,Adding 2
Addition - skill builders,C-C.4,Adding 3
Addition - skill builders,C-C.5,Adding 4
Addition - skill builders,C-C.6,Adding 5
Addition - skill builders,C-C.7,Adding 6
Addition - skill builders,C-C.8,Adding 7
Addition - skill builders,C-C.9,Adding 8
Addition - skill builders,C-C.10,Adding 9
Subtraction,C-D.1,Subtraction with pictures - numbers up to 10
Subtraction,C-D.2,Subtraction sentences - numbers up to 10
Subtraction,C-D.3,Subtraction sentences within 10 using number lines
Subtraction,C-D.4,Subtraction word problems - one-digit numbers
Subtraction,C-D.5,Word problems - write the subtraction sentence
Subtraction,C-D.6,Ways to make a number using subtraction
Subtraction,C-D.7,Ways to make a number - subtraction sentences
Subtraction,C-D.8,Ways to subtract from a number - subtraction sentences
Subtraction,C-D.9,Subtracting zero and all
Subtraction,C-D.10,Subtracting doubles
Subtraction,C-D.11,Subtraction facts - numbers up to 10
Subtraction,C-D.12,Subtraction sentences within 18 using number lines
Subtraction,C-D.13,Subtraction facts - numbers up to 18
Subtraction,C-D.14,Subtraction word problems - numbers up to 18
Subtraction,C-D.15,Complete the subtraction sentence
Subtraction,C-D.16,Related subtraction facts
Subtraction,C-D.17,Subtraction sentences: true or false?
Subtraction,C-D.18,Subtract tens I
Subtraction,C-D.19,Subtract tens II
Subtraction,C-D.20,Subtract one-digit numbers from two-digit numbers
Subtraction - skill builders,C-E.1,Subtracting 0
Subtraction - skill builders,C-E.2,Subtracting 1
Subtraction - skill builders,C-E.3,Subtracting 2
Subtraction - skill builders,C-E.4,Subtracting 3
Subtraction - skill builders,C-E.5,Subtracting 4
Subtraction - skill builders,C-E.6,Subtracting 5
Subtraction - skill builders,C-E.7,Subtracting 6
